SMPLID,Habitat,Individual,Dataset,Acc.no,total input read (pairs),Rejected 1st read pair,Rejected 2nd read pair,Accepted 1st read pair,Accepted 2nd read pair,Singleton 1st read pair,Singleton 2nd read pair,Avg read length,AvgQual read quality (if quality information available),average accumulated Error,Latitude,Longitude,Date when the sample was collected.
G2836,Boreal_forests,-,Global_soil,ENA_ERP020652,594986,21599,118597,573387,476389,100163,3165,237,35.2,0.908,68.60,21.75,7/24/12
G2838,Boreal_forests,-,Global_soil,ENA_ERP020652,985417,133059,228310,852358,757107,147035,51784,240,36.2,0.766,69.89,21.57,7/24/12
G2839,Boreal_forests,-,Global_soil,ENA_ERP020652,335096,130582,177695,204514,157401,61768,14655,235,35.3,0.762,70.15,24.79,7/25/12
G2840,Boreal_forests,-,Global_soil,ENA_ERP020652,1102327,145184,248156,957143,854171,161086,58114,241,36.3,0.758,68.06,24.03,7/26/12
G2844,Temperate_coniferous_forests,-,Global_soil,ENA_ERP020652,1140844,149220,242579,991624,898265,156545,63186,240,36.2,0.769,58.08,26.34,9/11/12
G2846,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,996386,128576,217517,867810,778869,141212,52271,241,36.2,0.772,58.89,23.68,9/25/12
G2847,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,1104406,140488,233750,963918,870656,152198,58936,241,36.3,0.767,58.93,23.86,9/26/12
G2907,Moist_tropical_forests,-,Global_soil,ENA_ERP020652,1066398,28793,284817,1037605,781581,258880,2856,239,35.6,0.888,20.35,105.60,10/12/12
G2819,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,995620,131134,218679,864486,776941,141638,54093,240,36.2,0.77,58.23,22.44,7/4/12
G2969,Tropical_montane_forests,-,Global_soil,ENA_ERP020652,1003213,140634,424254,862579,578959,303915,20295,240,36.1,0.755,22.32,103.79,10/18/12
G2971,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,895138,27342,265149,867796,629989,240318,2511,239,35.5,0.894,59.42,24.67,10/24/12
G3050,Dry_tropical_forests,-,Global_soil,ENA_ERP020652,18384119,375549,3055816,18008570,15328303,2747420,67153,2.46,35.7,0.853,29.46,79.23,1/9/13
G3051,Dry_tropical_forests,-,Global_soil,ENA_ERP020652,549253,83662,268284,465591,280969,196046,11424,237,35.6,0.791,29.49,79.14,1/9/13
G3055,Moist_tropical_forests,-,Global_soil,ENA_ERP020652,976670,133079,400336,843591,576334,288273,21016,240,36.1,0.775,14.27,74.76,1/13/13
G3057,Moist_tropical_forests,-,Global_soil,ENA_ERP020652,1031275,28838,293384,1002437,737891,267698,3152,239,35.6,0.899,13.50,75.23,1/14/13
