SMPLID,Habitat,Individual,Dataset,Acc.no,total input read (pairs),Rejected 1st read pair,Rejected 2nd read pair,Accepted 1st read pair,Accepted 2nd read pair,Singleton 1st read pair,Singleton 2nd read pair,Avg read length,AvgQual read quality (if quality information available),average accumulated Error,Latitude,Longitude,Date when the sample was collected.
FO297_FO220,Boreal biome,-,Independent_Soil,ENA_PRJEB24258,8991415,206042,576994,8785373,8414421,454891,83939,149,38.8,0.157,58.46,26.72,8/7/14
FO298_FO221,Boreal biome,-,Independent_Soil,ENA_PRJEB24259,9107266,207779,607333,8899487,8499933,484326,84772,149,38.7,0.1595,58.47,26.72,8/6/14
FO300_FO223,Boreal biome,-,Independent_Soil,ENA_PRJEB24260,10480544,480769,909604,9999775,9570940,627030,198195,148,37.4,0.2835,58.16,26.28,7/5/14
FO302_FO225,Boreal biome,-,Independent_Soil,ENA_PRJEB24261,10876548,517346,965029,10359202,9911519,660884,213201,148,37.4,0.2895,58.16,26.28,7/5/14
FO303_FO226,Boreal biome,-,Independent_Soil,ENA_PRJEB24262,10337161,487397,873161,9849764,9464000,588293,202529,148,37.4,0.283,58.49,26.78,9/27/14
FO304_FO227,Boreal biome,-,Independent_Soil,ENA_PRJEB24263,9022903,449039,800664,8573864,8222239,541522,189897,148,37.3,0.2965,58.46,26.72,8/7/14
FO305_FO228,Boreal biome,-,Independent_Soil,ENA_PRJEB24264,8911657,420671,785524,8490986,8126133,535610,170757,148,37.4,0.2865,58.46,26.73,7/3/14
FO306_FO229,Boreal biome,-,Independent_Soil,ENA_PRJEB24265,9861724,463372,886746,9398352,8974978,610547,187173,148,37.4,0.2905,58.35,22.25,7/2/14
100_DCM_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,151192562,10744748,10561360,140447814,140631202,8031732,8215120,4.21,7.0,0.0108,-12.99,-95.99,4/15/11
100_MES_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,166481913,16110635,13722999,150371278,152758914,10149406,12537042,10.2,8.6,0.0141,-12.93,-96.12,4/16/11
100_SUR_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,172245276,10436473,8881487,161808803,163363789,6997873,8552859,16.1,11.2,0.0121,-12.99,-95.99,4/15/11
102_DCM_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,187541459,22077649,20025225,165463810,167516234,13879580,15932004,2.03,11.7,0.0142,-5.27,-85.23,4/22/11
102_MES_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,175306068,18573460,21665679,156732608,153640389,15808728,12716509,12.6,9.8,0.0135,-5.27,-85.22,4/22/11
102_SUR_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,153877013,10350733,9687468,143526280,144189545,7446827,8110092,7,7.7,0.0111,-5.25,-85.16,4/21/11
109_DCM_0d2-3,Coastal ,-,Global_ocean,ENA_ERP020652,152566096,11255321,10792389,141310775,141773707,8415978,8878910,2.11,7.3,0.013,2.08,-84.52,5/13/11
109_MES_0d2-3,Coastal ,-,Global_ocean,ENA_ERP020652,166583233,20117955,16348599,146465278,150234634,11231667,15001023,6.89,7.7,0.0112,2.07,-84.54,5/13/11
109_SUR_0d2-3,Coastal ,-,Global_ocean,ENA_ERP020652,162432892,11305801,12420742,151127091,150012150,9748920,8633979,8.62,9.2,0.00976,1.99,-84.58,5/12/11
110_MES_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,163425257,15074036,17657541,148351221,145767716,12798742,10215237,9.34,8.2,0.0075,-1.87,-84.62,5/22/11
110_SUR_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,143929707,9800822,11190824,134128885,132738883,8345501,6955499,1.65,5.4,0.00803,-2.01,-84.59,5/21/11
111_DCM_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,161283522,11967027,14565129,149316495,146718393,10770820,8172718,11.4,8.6,0.00742,-16.96,-100.70,5/31/11
111_MES_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,170080291,18252007,20826709,151828284,149253582,14715992,12141290,11.1,8.7,0.00754,-16.96,-100.66,6/1/11
111_SUR_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,162483862,13860761,16502069,148623101,145981793,12029691,9388383,10.5,8.4,0.00748,-16.96,-100.63,5/31/11
112_DCM_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,169334437,16174807,18552619,153159630,150781818,13287292,10909480,12.1,9.2,0.00732,-23.19,-129.54,6/15/11
112_MES_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,134252766,12210548,13817959,122042218,120434807,9952701,8345290,27.4,1.9,0.00893,-23.20,-129.64,6/15/11
112_SUR_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,168606525,14484820,17545022,154121705,151061503,12769743,9709541,13.7,9.4,0.00732,-23.28,-129.40,6/14/11
122_DCM_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,136162037,9934698,10888073,126227339,125273964,8181020,7227645,28.6,3.4,0.00848,-8.98,-139.20,7/28/11
122_SUR_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,125827557,8035275,9226421,117792282,116601136,7050920,5859774,25.1,1.1,0.00898,-8.99,-139.21,7/26/11
123_DCM_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,167368544,10620716,11311676,156747828,156056868,8787693,8096733,15,10.1,0.0162,-8.90,-140.29,8/1/11
123_SUR_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,144099287,13816005,15586970,130283282,128512317,11484935,9713970,29.1,4.2,0.00837,-8.91,-140.28,7/31/11
124_DCM_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,170859613,10388650,9706428,160470963,161153185,7509366,8191588,16.5,10.8,0.0155,-9.07,-140.62,8/5/11
124_SUR_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,271661501,28416013,20138403,243245488,251523098,14576833,22854443,4.92,2.2,0.0141,-9.11,-140.58,8/5/11
125_DCM_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,155196037,14938030,17042193,140258007,138153844,12412064,10307901,4.19,6.5,0.00791,-8.90,-142.58,8/9/11
125_SUR_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,149214446,8847180,9021454,140367266,140192992,6932203,6757929,5.05,7.1,0.0166,-8.91,-142.56,8/8/11
128_DCM_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,133664239,9400355,11724270,124263884,121939969,9611711,7287796,26.7,3.0,0.00846,0.00,-153.68,9/4/11
128_SUR_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,136338447,10539768,30922162,125798679,105416285,27014392,6631998,29.8,3.4,0.00842,0.00,-153.68,9/4/11
132_DCM_0d2-3,Westerlies,-,Global_ocean,ENA_ERP020652,199744336,23815622,29283632,175928714,170460704,20338217,14870207,23.7,12.5,0.00675,31.50,-159.06,10/5/11
132_MES_0d2-3,Westerlies,-,Global_ocean,ENA_ERP020652,168557672,18273406,21086466,150284266,147471206,16245476,13432416,8.72,8.6,0.00726,31.53,-159.02,10/5/11
132_SUR_0d2-3,Westerlies,-,Global_ocean,ENA_ERP020652,145202609,13005078,14699690,132197531,130502919,11688990,9994378,28.9,5.2,0.00797,31.52,-159.00,10/4/11
133_DCM_0d2-3,Westerlies,-,Global_ocean,ENA_ERP020652,153814222,13424585,16844555,140389637,136969667,13053410,9633440,5.77,6.8,0.00769,35.42,-127.69,10/19/11
133_MES_0d2-3,Westerlies,-,Global_ocean,ENA_ERP020652,186694971,19669733,19761657,167025238,166933314,13400766,13308842,20,11.2,0.00683,35.31,-127.74,10/19/11
133_SUR_0d2-3,Westerlies,-,Global_ocean,ENA_ERP020652,216636957,20973061,26278330,195663896,190358627,19102623,13797354,10.1,15.3,0.006,35.41,-127.74,10/18/11
137_DCM_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,173874427,12101373,11847585,161773054,162026842,9178411,9432199,16.6,10.8,0.0162,14.17,-116.71,12/2/11
137_MES_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,179521191,14735099,13752025,164786092,165769166,10308192,11291266,18.6,11.1,0.0169,14.17,-116.66,12/3/11
137_SUR_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,157472055,10387743,18352711,147084312,139119344,14291670,6326702,10.1,8.3,0.00739,14.20,-116.63,12/2/11
138_DCM_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,160875461,14654144,16405094,146221317,144470367,11909051,10158101,6.01,8.2,0.00739,6.34,-102.98,12/11/11
138_SUR_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,149287222,9299128,11734368,139988094,137552854,9168563,6733323,4.22,6.9,0.00766,6.33,-102.94,12/10/11
140_SUR_0d2-3,Coastal ,-,Global_ocean,ENA_ERP020652,160755877,13385535,14128797,147370342,146627080,10522793,9779531,10.6,8.3,0.00742,7.41,-79.30,12/21/11
141_SUR_0d2-3,Coastal ,-,Global_ocean,ENA_ERP020652,149251540,11237018,12875552,138014522,136375988,9673942,8035408,2.21,6.2,0.00786,9.85,-80.04,12/30/11
142_DCM_0d2-3,Coastal ,-,Global_ocean,ENA_ERP020652,138819754,9105229,10846312,129714525,127973442,8359139,6618056,29.6,4.4,0.00823,25.66,-88.47,1/9/12
142_MES_0d2-3,Coastal ,-,Global_ocean,ENA_ERP020652,144357746,12086931,12591425,132270815,131766321,9249850,8745356,30.9,4.7,0.00825,25.63,-88.44,1/10/12
142_SUR_0d2-3,Coastal ,-,Global_ocean,ENA_ERP020652,138916724,9146039,11008704,129770685,127908020,8443178,6580513,29.7,4.4,0.00822,25.51,-88.38,1/9/12
146_MES_0d2-3,Westerlies,-,Global_ocean,ENA_ERP020652,136250581,10402477,11211216,125848104,125039365,8469264,7660525,27,3.1,0.00857,34.63,-71.26,2/16/12
146_SUR_0d2-3,Westerlies,-,Global_ocean,ENA_ERP020652,149213314,11742054,12637756,137471260,136575558,9205356,8309654,3.94,6.0,0.008,34.68,-71.30,2/15/12
148_MES_0d2-3,Westerlies,-,Global_ocean,ENA_ERP020652,141463814,13961025,16162711,127502789,125301103,11966141,9764455,29.9,3.4,0.00863,34.02,-56.87,2/27/12
148_SUR_0d2-3,Westerlies,-,Global_ocean,ENA_ERP020652,143155672,15155141,17409310,128000531,125746362,12533981,10279812,30,3.6,0.00862,31.70,-64.25,2/24/12
149_MES_0d2-3,Westerlies,-,Global_ocean,ENA_ERP020652,152824499,16828403,19715528,135996096,133108971,14356420,11469295,1.32,5.4,0.00825,34.10,-49.78,3/1/12
150_DCM_0d2-3,Westerlies,-,Global_ocean,ENA_ERP020652,151548299,11823584,14789825,139724715,136758474,11263490,8297249,3.68,6.7,0.00777,35.75,-37.05,3/5/12
151_DCM_0d2-3,Westerlies,-,Global_ocean,ENA_ERP020652,147579695,17099483,19971561,130480212,127608134,14166096,11294018,30.9,4.2,0.00853,36.19,-28.88,3/9/12
151_SUR_0d2-3,Westerlies,-,Global_ocean,ENA_ERP020652,159642731,15412333,19193849,144230398,140448882,13992128,10210612,8.2,7.4,0.00776,36.16,-29.01,3/9/12
152_DCM_0d2-3,Westerlies,-,Global_ocean,ENA_ERP020652,165337732,12235653,14033451,153102079,151304281,10878274,9080476,12.1,9.5,0.007,43.79,-16.89,3/20/12
152_MES_0d2-3,Westerlies,-,Global_ocean,ENA_ERP020652,150235715,11898377,12930060,138337338,137305655,10106656,9074973,2.89,6.3,0.00771,43.74,-16.88,3/19/12
152_SUR_0d2-3,Westerlies,-,Global_ocean,ENA_ERP020652,144081196,9025128,10093076,135056068,133988120,8053647,6985699,30.9,5.9,0.00779,43.69,-16.85,3/19/12
18_DCM_0d2-1d6,Westerlies,-,Global_ocean,ENA_ERP020652,179307527,13957821,36294070,165349706,143013457,30219263,7883014,18.3,11.7,0.00949,35.76,14.25,11/2/09
18_SUR_0d2-1d6,Westerlies,-,Global_ocean,ENA_ERP020652,178357322,16519899,13542287,161837423,164815035,9916150,12893762,15.8,11.0,0.00915,35.76,14.26,11/2/09
23_DCM_0d2-1d6,Westerlies,-,Global_ocean,ENA_ERP020652,64670183,5881455,6814785,58788728,57855398,5154163,4220833,30.6,38.0,0.0179,42.17,17.72,11/18/09
23_SUR_0d2-1d6,Westerlies,-,Global_ocean,ENA_ERP020652,63644200,6220179,10512010,57424021,53132190,8474894,4183063,25.2,38.0,0.0172,42.21,17.71,11/18/09
25_DCM_0d2-1d6,Westerlies,-,Global_ocean,ENA_ERP020652,166181296,14644399,15888564,151536897,150292732,10939717,9695552,11.4,9.1,0.01,39.41,19.38,11/23/09
30_DCM_0d2-1d6,Westerlies,-,Global_ocean,ENA_ERP020652,144631779,17928735,14952843,126703044,129678936,11623318,14599210,29,3.4,0.0129,33.93,32.77,12/15/09
30_SUR_0d2-1d6,Westerlies,-,Global_ocean,ENA_ERP020652,199061842,18971475,15739870,180090367,183321972,11410581,14642186,21.9,13.6,0.0107,33.92,32.89,12/15/09
31_SUR_0d2-1d6,Coastal ,-,Global_ocean,ENA_ERP020652,162081673,16747584,19204373,145334089,142877300,13225320,10768531,8.85,7.8,0.0109,27.16,34.83,1/9/10
32_SUR_0d2-1d6,Coastal ,-,Global_ocean,ENA_ERP020652,178400208,10770504,10675726,167629704,167724482,8229316,8324094,19,12.0,0.0118,23.36,37.22,1/11/10
33_SUR_0d2-1d6,Coastal ,-,Global_ocean,ENA_ERP020652,105996465,12029368,9891507,93967097,96104958,7197524,9335385,3.94,37.4,0.0156,21.98,38.24,1/13/10
34_DCM_0d2-1d6,Coastal ,-,Global_ocean,ENA_ERP020652,183714752,23010501,20293356,160704251,163421396,14232199,16949344,14.4,10.5,0.0102,18.40,39.86,1/20/10
34_SUR_0d2-1d6,Coastal ,-,Global_ocean,ENA_ERP020652,102364054,11169786,8980344,91194268,93383710,6555903,8745345,1.19,37.5,0.0155,18.40,39.88,1/20/10
36_DCM_0d2-1d6,Coastal ,-,Global_ocean,ENA_ERP020652,167493567,18536311,17199149,148957256,150294418,11928026,13265188,8.99,8.5,0.0109,20.82,63.51,3/12/10
36_SUR_0d2-1d6,Coastal ,-,Global_ocean,ENA_ERP020652,110761021,7928171,7795801,102832850,102965220,6006097,6138467,12.4,37.6,0.0138,20.82,63.50,3/12/10
37_OMZ_0d2-1d6,Coastal ,-,Global_ocean,ENA_ERP020652,166379184,16921299,17720730,149457885,148658454,13172233,12372802,8.39,8.3,0.0109,20.83,63.61,3/13/10
38_DCM_0d2-1d6,Trades,-,Global_ocean,ENA_ERP020652,175728622,22892825,22052129,152835797,153676493,14039298,14879994,11.4,9.1,0.0103,19.03,64.62,3/15/10
38_OMZ_0d2-1d6,Trades,-,Global_ocean,ENA_ERP020652,105623220,12790196,14271794,92833024,91351426,10109818,8628220,2.86,37.1,0.0175,19.01,64.57,3/16/10
38_SUR_0d2-1d6,Trades,-,Global_ocean,ENA_ERP020652,111786767,10412459,11074520,101374308,100712247,7974496,7312435,11.5,37.4,0.0155,19.04,64.49,3/15/10
39_DCM_0d2-1d6,Trades,-,Global_ocean,ENA_ERP020652,149474452,9917214,12442729,139557238,137031723,9503337,6977822,4.31,6.6,0.00774,18.57,66.49,3/18/10
39_OMZ_0d2-1d6,Trades,-,Global_ocean,ENA_ERP020652,113343502,14031355,13173929,99312147,100169573,9170953,10028379,9.53,37.1,0.0169,18.72,66.36,3/20/10
41_DCM_0d2-1d6,Trades,-,Global_ocean,ENA_ERP020652,189289694,18113033,17663104,171176661,171626590,12760076,13210005,19.8,12.3,0.00934,14.56,70.01,3/30/10
41_SUR_0d2-1d6,Trades,-,Global_ocean,ENA_ERP020652,182961119,21982918,20009240,160978201,162951879,13490400,15464078,15.1,10.7,0.00967,14.60,69.98,3/30/10
42_DCM_0d2-1d6,Trades,-,Global_ocean,ENA_ERP020652,172353446,20792622,18706319,151560824,153647127,12531369,14617672,11.1,8.9,0.0101,6.00,73.90,4/4/10
42_SUR_0d2-1d6,Trades,-,Global_ocean,ENA_ERP020652,164325489,15591426,14716135,148734063,149609354,10549879,11425170,8.51,8.6,0.0104,6.03,73.89,4/4/10
45_SUR_0d2-1d6,Trades,-,Global_ocean,ENA_ERP020652,169756330,18488528,15471056,151267802,154285274,10581365,13598837,10.2,9.1,0.0102,0.00,71.64,4/13/10
48_SUR_0d2-1d6,Trades,-,Global_ocean,ENA_ERP020652,197177090,26958694,21873098,170218396,175303992,14161960,19247556,18.5,11.9,0.0093,-9.39,66.42,4/19/10
4_DCM_0d2-1d6,Westerlies,-,Global_ocean,ENA_ERP020652,190771702,24134784,20236904,166636918,170534798,13264110,17161990,17.5,11.4,0.00985,36.57,-6.54,9/15/09
4_SUR_0d2-1d6,Westerlies,-,Global_ocean,ENA_ERP020652,172429441,17228299,14678199,155201142,157751242,10782123,13332223,12.3,9.8,0.00998,36.55,-6.57,9/15/09
52_DCM_0d2-1d6,Trades,-,Global_ocean,ENA_ERP020652,171527409,13809930,13108955,157717479,158418454,9632609,10333584,13.4,10.4,0.01,-16.96,54.01,5/17/10
52_SUR_0d2-1d6,Trades,-,Global_ocean,ENA_ERP020652,175260734,13831788,15263706,161428946,159997028,10487496,9055578,16.2,11.0,0.00923,-16.96,53.99,5/17/10
56_MES_0d2-3,Coastal ,-,Global_ocean,ENA_ERP020652,165433688,30473029,24216088,134960659,141217600,14457411,20714352,30.7,4.8,0.00849,-15.34,43.29,6/26/10
56_SUR_0d2-3,Coastal ,-,Global_ocean,ENA_ERP020652,141838705,15477282,10833897,126361423,131004808,7199695,11843080,28.5,3.2,0.00856,-15.34,43.29,6/26/10
57_SUR_0d2-3,Coastal ,-,Global_ocean,ENA_ERP020652,138828354,28067391,19505097,110760963,119323257,11194598,19756892,13.5,36.9,0.00981,-17.02,42.74,6/27/10
58_DCM_0d2-3,Coastal ,-,Global_ocean,ENA_ERP020652,149222750,13173438,38395724,136049312,110827026,33491594,8269308,3.37,6.0,0.0078,-17.32,42.29,6/29/10
62_SUR_0d2-3,Coastal ,-,Global_ocean,ENA_ERP020652,131344006,12130964,8535044,119213042,122808962,5894894,9490814,24.6,1.2,0.00896,-21.38,39.56,7/2/10
64_DCM_0d2-3,Coastal ,-,Global_ocean,ENA_ERP020652,163766085,23800008,25850783,139966077,137915302,17145645,15094870,5.9,6.3,0.0176,-29.54,37.94,7/8/10
64_MES_0d2-3,Coastal ,-,Global_ocean,ENA_ERP020652,101240489,10658668,11925034,90581821,89315455,8473490,7207124,1.52,37.0,0.0186,-29.51,37.94,7/7/10
64_SUR_0d2-3,Coastal ,-,Global_ocean,ENA_ERP020652,274724295,26303246,29264278,248421049,245460017,21652185,18691153,12.3,2.8,0.00948,-29.50,37.99,7/7/10
65_DCM_0d2-3,Coastal ,-,Global_ocean,ENA_ERP020652,181844618,17690086,20462460,164154532,161382158,14310781,11538407,17.7,11.0,0.0137,-35.25,26.31,7/12/10
65_MES_0d2-3,Coastal ,-,Global_ocean,ENA_ERP020652,185242612,17095410,18804160,168147202,166438452,14069391,12360641,18.3,11.6,0.00986,-35.23,26.33,7/12/10
65_SUR_0d2-3,Coastal ,-,Global_ocean,ENA_ERP020652,118409567,16830537,12114871,101579030,106294696,8243261,12958927,11.8,37.2,0.0162,-35.19,26.29,7/12/10
66_DCM_0d2-3,Coastal ,-,Global_ocean,ENA_ERP020652,62073344,7435612,8957009,54637732,53116335,6428402,4907005,22.5,37.2,0.0235,-34.89,18.07,7/15/10
66_SUR_0d2-3,Coastal ,-,Global_ocean,ENA_ERP020652,129743109,17373380,28943749,112369729,100799360,22755052,11184683,22.5,37.3,0.0188,-34.94,17.94,7/15/10
67_SUR_0d2-3,Coastal ,-,Global_ocean,ENA_ERP020652,71140195,6226530,5927198,64913665,65212997,4213546,4512878,35.2,37.3,0.0212,-32.23,17.71,9/7/10
68_DCM_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,100893341,16065251,23168019,84828090,77725322,16537628,9434860,46.5,37.3,0.0214,-31.03,4.69,9/14/10
68_MES_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,164125206,12412156,14333152,151713050,149792054,11240919,9319923,10.7,9.0,0.0107,-31.04,4.64,9/13/10
68_SUR_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,107764134,18632274,26451301,89131860,81312833,18312056,10493029,0.796,37.1,0.0222,-31.03,4.69,9/14/10
70_MES_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,161143022,16576394,17886639,144566628,143256383,13332220,12021975,5.59,7.2,0.0114,-20.37,-3.22,9/22/10
72_DCM_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,141030376,12511396,11442497,128518980,129587879,8688349,9757248,29.1,4.2,0.0121,-8.70,-17.94,10/5/10
72_MES_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,117991410,12273856,13921643,105717554,104069767,10370865,8723078,15.2,37.2,0.0156,-8.80,-17.91,10/6/10
72_SUR_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,175759018,19131957,18078485,156627061,157680533,12756563,13810035,12.3,9.9,0.0103,-8.78,-17.91,10/5/10
76_MES_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,184328601,17921134,19633034,166407467,164695567,14682816,12970916,17.2,11.2,0.00998,-20.95,-35.22,10/17/10
76_SUR_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,178247363,25748267,24186223,152499096,154061140,16658668,18220712,9.92,8.8,0.0103,-20.94,-35.20,10/16/10
78_DCM_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,183377551,20603900,19810486,162773651,163567065,14506836,15300250,15.8,10.8,0.00982,-30.15,-43.25,11/4/10
78_MES_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,185043798,33237050,27438191,151806748,157605607,16554603,22353462,9.8,8.5,0.0112,-30.15,-43.29,11/5/10
78_SUR_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,183651192,32800721,23918887,150850471,159732305,14372282,23254116,8.39,8.6,0.0108,-30.14,-43.29,11/4/10
7_DCM_0d2-1d6,Westerlies,-,Global_ocean,ENA_ERP020652,73063008,8484148,7879398,64578860,65183610,5895106,6499856,31.7,37.2,0.013,37.04,1.95,9/23/09
7_SUR_0d2-1d6,Westerlies,-,Global_ocean,ENA_ERP020652,82133786,17524719,12254821,64609067,69878965,7320237,12590135,30.3,36.5,0.0166,37.02,1.95,9/23/09
82_SUR_0d2-3,Coastal ,-,Global_ocean,ENA_ERP020652,113140965,10755511,11568315,102385454,101572650,8911003,8098199,11.5,37.4,0.015,-47.18,-58.30,12/6/10
84_SUR_0d2-3,Polar,-,Global_ocean,ENA_ERP020652,180291137,19751753,19938153,160539384,160352984,14352587,14166187,14.7,10.4,0.0102,-60.23,-60.65,1/3/11
85_DCM_0d2-3,Polar,-,Global_ocean,ENA_ERP020652,167226214,27720696,23808134,139505518,143418080,14886096,18798658,2.73,6.1,0.012,-62.24,-49.18,1/6/11
85_MES_0d2-3,Polar,-,Global_ocean,ENA_ERP020652,164462672,19686670,20247312,144776002,144215360,14652658,14092016,6.48,7.4,0.0115,-61.98,-49.45,1/7/11
85_SUR_0d2-3,Polar,-,Global_ocean,ENA_ERP020652,164811059,17420015,17439419,147391044,147371640,12527911,12508507,7.48,8.2,0.0111,-62.03,-49.54,1/6/11
93_DCM_0d2-3,Coastal ,-,Global_ocean,ENA_ERP020652,143894886,29308861,30790264,114586025,113104622,8864559,7383156,22.1,0.1,0.00915,-33.88,-73.05,3/12/11
93_SUR_0d2-3,Coastal ,-,Global_ocean,ENA_ERP020652,125435563,9052165,6178261,116383398,119257302,4514497,7388401,21.4,0.5,0.00908,-34.05,-73.08,3/12/11
94_SUR_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,201261714,18374478,15887505,182887236,185374209,10949808,13436781,2.71,13.8,0.00612,-32.78,-87.09,3/18/11
96_SUR_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,160006036,19208322,14273545,140797714,145732491,9341075,14275852,4.81,6.6,0.00783,-29.72,-101.16,3/24/11
98_DCM_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,108339111,9992178,9543477,98346933,98795634,6970595,7419296,9.24,37.4,0.016,-25.85,-111.77,4/4/11
98_MES_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,181318223,25092264,23540118,156225959,157778105,15999057,17551203,13,9.4,0.0109,-25.82,-111.74,4/4/11
98_SUR_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,109705261,9794804,8527770,99910457,101177491,6304992,7572026,9.56,37.5,0.0146,-25.83,-111.78,4/3/11
99_SUR_0d2-3,Trades,-,Global_ocean,ENA_ERP020652,147549665,11236315,12895629,136313350,134654036,10366459,8707145,1.08,6.2,0.00774,-21.15,-104.79,4/9/11
9_DCM_0d2-1d6,Westerlies,-,Global_ocean,ENA_ERP020652,174098221,12920996,14937692,161177225,159160529,11419876,9403180,17.2,10.8,0.00928,39.07,5.86,9/28/09
9_SUR_0d2-1d6,Westerlies,-,Global_ocean,ENA_ERP020652,202467260,20492696,23989231,181974564,178478029,17532726,14036191,1.9,13.6,0.0127,39.07,5.86,9/28/09
110_DCM_0d2-3,Trades,-,Global_ocean,ENA_ERP020653,173074207,16825958,19494994,156248249,153579213,13763686,11094650,14.8,9.71,0.0073,-1.84,-84.63,5/21/11
122_MES_0d2-3,Trades,-,Global_ocean,ENA_ERP020654,177346799,13491187,15150959,163855612,162195840,11671762,10011990,17.6,11.1,0.0165,-8.99,-139.23,7/27/11
138_MES_0d2-3,Trades,-,Global_ocean,ENA_ERP020655,153753898,12543009,12700705,141210889,141053193,9698726,9541030,5.48,6.74,0.0184,6.37,-103.07,12/11/11
145_MES_0d2-3,Westerlies,-,Global_ocean,ENA_ERP020656,151188356,13801107,14700210,137387249,136488146,10652471,9753368,2.44,5.73,0.00811,39.19,-70.08,2/2/12
145_SUR_0d2-3,Westerlies,-,Global_ocean,ENA_ERP020657,151567035,14176025,14635694,137391010,136931341,10475252,10015583,3.07,5.92,0.00804,39.23,-70.03,2/2/12
149_SUR_0d2-3,Westerlies,-,Global_ocean,ENA_ERP020658,148093752,14496848,17429591,133596904,130664161,12781118,9848375,1.02,5,0.0083,34.10,-49.89,3/1/12
150_SUR_0d2-3,Westerlies,-,Global_ocean,ENA_ERP020659,156116257,15198889,19110940,140917368,137005317,13916363,10004312,6.2,6.73,0.00793,35.91,-37.26,3/5/12
25_SUR_0d2-1d6,Westerlies,-,Global_ocean,ENA_ERP020660,188940220,15782220,17982887,173158000,170957333,13640914,11440247,20.8,12.5,0.00947,39.39,19.39,11/23/09
32_DCM_0d2-1d6,Coastal ,-,Global_ocean,ENA_ERP020661,163699492,15549724,16521734,148149768,147177758,12176794,11204784,8.12,8.25,0.0104,23.38,37.29,1/11/10
70_SUR_0d2-3,Trades,-,Global_ocean,ENA_ERP020662,97333865,18797095,15556620,78536770,81777245,9895636,13136111,39.8,36.7,0.0209,-20.44,-3.19,9/21/10
76_DCM_0d2-3,Trades,-,Global_ocean,ENA_ERP020663,167803996,26709540,25220932,141094456,142583064,16606082,18094690,4.45,6.37,0.0117,-21.05,-35.37,10/16/10
82_DCM_0d2-3,Coastal ,-,Global_ocean,ENA_ERP020664,179694071,22941092,21779862,156752979,157914209,14844704,16005934,13.8,9.78,0.0105,-47.21,-58.06,12/6/10
MH0181,-,-,Gut,ERP004605,34911534,5265953,11014787,29645581,23896747,7492070,1743236,74.3,30.4,0.106,-,-,-
MH0204,-,-,Gut,ERP004605,51913644,14376290,14771240,37537354,37142404,7143830,6748880,87.1,34.9,0.102,-,-,-
MH0212,-,-,Gut,ERP004605,50160914,12135922,12628280,38024992,37532634,6527623,6035265,87.7,35.0,0.0957,-,-,-
MH0229,-,-,Gut,ERP004605,53669437,31494,51514,53637943,53617923,51448,31428,9.93,62.3,0.0045,-,-,-
MH0289,-,-,Gut,ERP004605,53912811,11371264,12555107,42541547,41357704,7202548,6018705,87.7,35.2,0.0937,-,-,-
