,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil5_CE_201_7_CHL_T9,0.144848,0.096247,5.218763,0.014859,0.370373,0.350802,0.044301,5.965319,1.009933,0.296752,0.008749,0.029240,0.037191,0.008344,0.000000,0.006135,0.104787,0.127492,0.046817,0.011687,0.004110,0.001644,0.000000,0.000000,1.970760,0.000000,0.205297,0.142713,0.019448,0.003166,0.000000,9.595001,0.000552,0.000000,0.000000,0.268286,0.663155,0.039264,0.050798,0.108400
Soil6_CE_73_-11_CHL_T9,0.427600,0.119420,6.400614,0.044353,0.637924,0.782775,0.304338,3.908249,1.069000,0.804287,0.031903,0.057776,0.112240,0.034506,0.009859,0.000000,0.171912,0.326735,0.037868,0.000000,0.000000,0.000000,0.000000,0.000000,3.625929,0.000000,0.157061,0.049927,0.046640,0.002452,0.000000,14.337479,0.002275,0.000000,0.008721,0.441251,0.782623,0.017064,0.178358,0.563792
Soil6_CE_73_-14_CHL_T9,0.432438,0.117575,6.929744,0.021177,0.815859,0.821474,0.394398,4.940708,1.470944,0.857387,0.045496,0.074312,0.113973,0.017159,0.012238,0.000000,0.120647,0.332103,0.057053,0.006308,0.014598,0.001905,0.000000,0.000000,4.464402,0.000000,0.191048,0.100694,0.043465,0.001482,0.000000,16.560775,0.000000,0.000000,0.020502,0.501514,0.995502,0.011860,0.166206,0.535226
Soil6_CE_73_-17_CHL_T9,0.325056,0.118096,6.385971,0.015266,0.731685,0.784150,0.312103,4.273539,1.444100,0.772653,0.060295,0.046936,0.109431,0.014329,0.026853,0.000000,0.155476,0.307082,0.066275,0.000000,0.005404,0.000056,0.000000,0.000000,4.250195,0.000000,0.196872,0.117792,0.034864,0.000000,0.000000,15.600343,0.000000,0.000000,0.022565,0.485722,0.881080,0.010154,0.102808,0.493981
Soil6_CE_73_-21_CHL_T9,0.403004,0.181399,6.836588,0.013608,0.832617,0.784534,0.326730,4.299074,1.452775,0.880555,0.063442,0.095110,0.103951,0.021475,0.009533,0.006883,0.158132,0.311509,0.058413,0.000000,0.005887,0.000000,0.000000,0.000000,4.334975,0.000000,0.168943,0.078883,0.048503,0.002106,0.000000,16.070418,0.000000,0.000000,0.019904,0.532485,0.949810,0.019066,0.150160,0.540342
Soil6_CE_73_-26_CHL_T9,0.427618,0.167294,6.979002,0.014818,0.810839,0.776396,0.343594,4.433786,1.472989,0.832981,0.067410,0.120047,0.120733,0.024602,0.014075,0.011443,0.196702,0.349144,0.093225,0.000000,0.019762,0.000000,0.000000,0.000000,4.151583,0.000000,0.162397,0.081610,0.064194,0.002357,0.002483,15.906718,0.002060,0.000000,0.011443,0.548684,0.934055,0.006294,0.172443,0.531828
Soil6_CE_73_-40_CHL_T9,0.348612,0.148501,7.080674,0.035419,0.900644,0.887141,0.362042,4.387859,1.335505,0.881938,0.057136,0.098774,0.102490,0.016229,0.023786,0.000000,0.204175,0.383920,0.082953,0.031256,0.023551,0.001313,0.000000,0.003134,4.359452,0.000000,0.246160,0.116737,0.025025,0.002589,0.000000,16.390399,0.003345,0.000000,0.015114,0.561075,0.934415,0.018335,0.161943,0.625062
Soil6_CE_73_-4_CHL_T9,0.295962,0.156869,5.701528,0.016147,0.658223,0.534261,0.162356,3.682961,0.929680,0.646051,0.028742,0.064023,0.047588,0.024109,0.006927,0.006171,0.104495,0.264198,0.050790,0.000000,0.011551,0.000000,0.000000,0.000000,2.894092,0.000000,0.130007,0.039456,0.029776,0.000000,0.000000,11.197197,0.000000,0.000000,0.009626,0.439805,0.622653,0.016282,0.128721,0.398541
Soil6_CE_73_-70_CHL_T9,0.293881,0.140377,5.073237,0.049473,0.740648,0.633476,0.276118,2.995332,1.006475,0.652516,0.052253,0.066248,0.052429,0.014622,0.010444,0.008034,0.133275,0.242665,0.068264,0.000000,0.028328,0.000000,0.000000,0.002282,3.712353,0.000000,0.179960,0.053257,0.050855,0.001687,0.000000,12.937062,0.001446,0.000000,0.013256,0.386593,0.745814,0.011730,0.164318,0.480389
Soil6_CE_73_-7_CHL_T9,0.376039,0.175446,6.594632,0.022978,0.698707,0.638664,0.317921,4.028803,1.133557,0.750295,0.018231,0.068075,0.091271,0.023350,0.017833,0.004401,0.182015,0.331148,0.080968,0.012830,0.014087,0.001180,0.000000,0.000000,3.599892,0.000000,0.159371,0.054526,0.036052,0.000000,0.000000,12.847339,0.000000,0.000000,0.013984,0.515627,0.740878,0.011803,0.243611,0.543249
