,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil6_CE_73_-26_None_T9,nan,0.293,226.412,61.946,nan,nan,100.548,316.980,319.226,222.503,80.380,109.281,24.597,nan,0.000,0.887,19.543,102.687,41.420,40.825,1.474,42.014,47.924,37.966,169.809,nan,20.466,34.202,nan,34.732,38.572,51.733,0.815,nan,nan,nan,66.245,nan,93.840,243.287
Soil6_CE_73_-40_None_T9,nan,0.587,117.578,59.928,nan,nan,10.830,148.032,190.191,35.584,76.057,77.808,8.669,nan,0.000,1.539,4.202,82.886,58.159,43.011,0.655,52.872,55.183,59.990,68.513,nan,21.013,40.708,nan,45.050,51.909,49.080,0.450,nan,nan,nan,7.237,nan,1.000,27.675
Soil6_CE_73_-4_None_T9,nan,1.174,88.541,35.537,nan,nan,62.294,118.239,164.616,96.827,54.695,69.841,21.383,nan,0.000,0.000,8.231,58.387,40.669,25.030,0.000,38.400,36.091,37.956,96.503,nan,15.238,32.984,nan,32.157,33.578,36.413,0.090,nan,nan,nan,18.543,nan,45.372,146.117
Soil6_CE_73_-70_None_T9,nan,0.293,118.705,87.527,nan,nan,2.988,164.806,225.576,9.710,122.518,123.333,1.954,nan,0.000,0.400,1.742,96.716,72.285,82.730,0.000,96.674,87.415,93.092,65.091,nan,20.898,70.181,nan,77.658,76.007,73.335,0.090,nan,nan,nan,2.391,nan,1.204,10.861
Soil6_CE_73_-7_None_T9,nan,0.098,113.859,48.276,nan,nan,89.528,146.371,209.843,145.438,69.429,79.781,34.218,nan,0.000,0.000,10.959,75.364,47.813,49.270,2.562,41.302,38.614,44.500,146.694,nan,18.583,30.470,nan,34.566,33.019,39.653,0.090,nan,nan,nan,27.746,nan,86.415,236.796
Soil6_CE_73_0_None_T9,nan,0.782,150.196,70.361,nan,nan,38.425,191.484,260.389,63.155,90.662,108.957,16.852,nan,0.000,1.686,7.506,100.315,65.562,47.757,2.227,63.312,66.431,60.421,118.448,nan,31.743,54.931,nan,61.928,69.064,56.609,0.000,nan,nan,nan,12.148,nan,30.476,87.846
Soil6_CE_73_7_None_T9,nan,1.174,137.394,87.537,nan,nan,9.305,184.493,258.016,17.480,125.416,122.917,2.973,nan,0.000,1.000,5.556,89.202,73.139,81.095,0.000,92.653,83.055,84.126,75.795,nan,26.915,67.481,nan,75.454,77.412,81.373,0.000,nan,nan,nan,4.100,nan,7.605,19.417
Soil9_CE_277_-10_None_T9,nan,0.881,97.726,31.019,nan,nan,78.636,525.645,502.235,121.688,83.293,269.381,141.068,nan,0.000,1.000,30.085,78.388,24.860,23.479,3.448,27.751,20.520,21.532,143.307,nan,13.839,19.700,nan,28.561,27.455,29.374,0.090,nan,nan,nan,73.381,nan,27.940,211.860
Soil9_CE_277_-13_None_T9,nan,0.782,86.331,28.177,nan,nan,68.450,517.248,483.254,108.997,76.904,251.929,124.723,nan,0.000,1.000,31.835,69.870,29.835,25.106,3.376,22.971,27.141,26.381,137.077,nan,14.013,21.074,nan,21.350,21.767,28.384,0.000,nan,nan,nan,73.306,nan,26.029,214.373
Soil9_CE_277_-16_None_T9,nan,0.880,111.255,31.871,nan,nan,101.496,582.170,539.769,148.865,81.201,299.057,129.144,nan,0.000,0.000,33.392,103.078,29.311,17.224,4.995,27.611,33.170,28.112,167.399,nan,18.684,21.862,nan,22.074,23.631,30.724,0.434,nan,nan,nan,80.685,nan,58.417,307.790
