,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil3_CE_239_-19_CHL_T9,nan,2.880,109.101,45.860,nan,nan,13.078,157.126,178.623,31.946,78.999,98.654,11.099,nan,0.000,0.445,4.045,56.698,46.181,41.373,2.562,49.397,55.287,55.171,100.111,nan,17.710,35.062,nan,36.758,41.984,43.984,0.000,nan,nan,nan,8.850,nan,4.519,27.969
Soil3_CE_239_-22_CHL_T9,nan,1.172,114.724,52.273,nan,nan,14.073,157.990,180.316,26.862,72.765,80.522,12.397,nan,0.000,1.000,5.240,61.595,42.276,39.471,0.515,46.445,45.120,51.076,99.216,nan,16.590,46.658,nan,48.231,36.956,44.032,0.000,nan,nan,nan,9.336,nan,4.902,30.029
Soil3_CE_239_-26_CHL_T9,nan,0.098,122.736,47.564,nan,nan,13.819,174.421,185.665,31.704,79.961,86.232,13.661,nan,0.000,0.000,3.290,61.136,40.087,33.764,1.000,50.508,68.057,50.529,103.414,nan,19.299,39.426,nan,45.735,42.303,49.919,0.090,nan,nan,nan,9.715,nan,3.069,35.446
Soil3_CE_239_-32_CHL_T9,nan,0.880,110.038,53.764,nan,nan,14.569,154.947,181.372,29.716,70.273,74.028,11.079,nan,0.000,0.498,6.114,65.657,40.262,48.430,0.000,53.003,45.402,51.394,87.002,nan,24.089,38.689,nan,45.597,40.731,44.647,0.360,nan,nan,nan,8.145,nan,4.014,29.652
Soil3_CE_239_-50_CHL_T9,nan,0.489,114.562,65.008,nan,nan,14.346,154.555,172.648,20.141,82.298,90.910,8.899,nan,0.000,0.000,3.155,63.515,64.731,48.335,0.000,61.125,66.196,65.399,91.568,nan,23.349,51.234,nan,50.188,48.240,53.478,0.066,nan,nan,nan,4.382,nan,4.380,25.239
Soil3_CE_239_-7_CHL_T9,nan,1.271,141.035,68.460,nan,nan,14.501,179.167,212.174,27.100,95.708,103.607,10.469,nan,0.000,2.000,4.871,68.938,61.549,55.281,0.000,61.288,68.888,70.052,84.839,nan,24.970,59.349,nan,52.326,54.778,61.656,0.180,nan,nan,nan,5.574,nan,8.027,26.015
Soil3_CE_239_0_CHL_T9,nan,0.880,228.814,131.188,nan,nan,12.838,297.239,332.891,29.683,183.292,192.524,9.349,nan,0.000,0.000,4.688,130.572,94.852,107.027,0.000,133.698,104.191,116.233,79.375,nan,38.098,113.111,nan,112.474,114.178,123.214,0.180,nan,nan,nan,5.874,nan,5.648,25.398
Soil3_CE_239_9_CHL_T9,nan,0.098,206.154,163.853,nan,nan,4.836,287.189,303.378,11.528,228.503,204.046,2.566,nan,0.000,0.000,6.331,133.365,127.679,122.844,2.000,167.389,174.731,175.931,38.420,nan,28.656,128.884,nan,133.133,137.449,142.102,0.000,nan,nan,nan,3.267,nan,1.883,10.044
Soil5_CE_201_-12_CHL_T9,nan,0.880,56.061,28.150,nan,nan,8.598,89.428,117.031,13.131,43.551,44.727,5.625,nan,0.000,0.121,2.428,39.983,25.938,22.342,0.000,33.189,30.846,33.809,53.655,nan,13.691,21.714,nan,27.538,23.208,21.023,0.000,nan,nan,nan,3.626,nan,6.569,21.461
Soil5_CE_201_-15_CHL_T9,nan,0.782,50.845,27.103,nan,nan,9.630,74.591,99.104,14.982,24.017,35.774,5.979,nan,0.000,0.000,1.258,34.443,23.693,11.947,0.778,24.874,19.091,21.206,55.007,nan,11.068,14.847,nan,23.813,16.365,14.576,0.180,nan,nan,nan,2.770,nan,6.277,20.915
Soil5_CE_201_-19_CHL_T9,nan,1.174,70.562,20.584,nan,nan,12.199,107.317,149.434,19.447,36.330,54.368,7.306,nan,0.000,0.184,3.076,42.469,28.602,29.741,1.000,29.098,26.052,28.279,81.322,nan,15.430,20.952,nan,22.453,23.965,27.067,0.266,nan,nan,nan,5.605,nan,5.648,23.640
Soil5_CE_201_-23_CHL_T9,nan,0.489,80.762,30.242,nan,nan,13.618,114.925,160.924,21.407,45.997,59.129,9.860,nan,0.000,1.000,3.810,50.898,30.170,24.403,0.531,28.903,28.258,31.060,91.339,nan,20.594,21.960,nan,31.112,32.919,33.513,0.270,nan,nan,nan,6.912,nan,3.834,28.007
Soil5_CE_201_-28_CHL_T9,nan,0.978,85.642,34.660,nan,nan,14.820,106.024,149.032,17.897,48.679,42.003,7.287,nan,0.000,2.000,3.932,47.502,30.550,15.209,1.593,27.116,21.274,23.898,80.549,nan,16.403,26.232,nan,27.422,21.191,26.309,0.180,nan,nan,nan,5.423,nan,4.215,26.127
Soil5_CE_201_-35_CHL_T9,nan,0.685,92.529,37.038,nan,nan,13.958,134.000,184.330,22.934,50.201,59.839,9.765,nan,0.000,0.711,3.097,59.093,39.455,30.597,1.000,36.054,27.713,41.233,112.880,nan,17.573,30.121,nan,34.604,32.044,30.533,0.000,nan,nan,nan,5.984,nan,3.629,30.357
Soil5_CE_201_-55_CHL_T9,nan,0.685,73.154,37.980,nan,nan,16.753,110.896,147.697,14.846,46.095,44.877,9.144,nan,0.000,2.000,2.784,50.465,30.753,26.635,0.000,35.046,29.856,32.430,86.211,nan,12.797,25.134,nan,34.554,31.252,29.151,0.090,nan,nan,nan,4.047,nan,6.025,25.611
Soil5_CE_201_-5_CHL_T9,nan,0.391,57.859,33.896,nan,nan,8.453,68.911,105.357,11.887,32.420,38.015,4.660,nan,0.000,0.000,1.430,27.937,21.070,20.232,0.479,23.819,22.248,16.973,47.923,nan,7.462,18.076,nan,23.953,16.780,21.981,0.000,nan,nan,nan,3.036,nan,6.307,16.772
Soil5_CE_201_-9_CHL_T9,nan,0.880,71.032,32.133,nan,nan,12.625,89.508,130.024,21.023,41.180,42.492,8.908,nan,0.000,0.000,1.553,35.850,24.978,27.643,0.000,27.439,27.324,25.284,65.952,nan,13.993,22.196,nan,25.289,23.977,29.843,0.194,nan,nan,nan,3.662,nan,7.531,25.412
Soil5_CE_201_0_CHL_T9,nan,1.269,105.896,45.126,nan,nan,10.287,134.597,185.114,18.550,54.769,78.767,6.239,nan,0.000,0.000,3.776,60.228,41.632,38.612,0.794,46.579,40.530,51.649,71.747,nan,24.900,35.991,nan,44.599,41.535,45.837,0.090,nan,nan,nan,5.952,nan,6.937,24.618
Soil5_CE_201_7_CHL_T9,nan,0.978,148.564,94.213,nan,nan,7.151,195.649,280.097,17.710,120.327,117.666,3.662,nan,0.000,1.000,2.330,88.805,81.967,52.217,0.670,82.469,74.916,75.913,56.660,nan,33.463,66.005,nan,72.966,72.190,78.841,0.090,nan,nan,nan,3.493,nan,8.280,17.669
Soil6_CE_73_-11_CHL_T9,nan,0.698,77.562,35.546,nan,nan,18.168,95.524,125.042,31.462,55.480,58.293,7.950,nan,0.000,0.000,3.991,57.635,25.657,39.939,0.000,45.513,36.640,39.762,84.959,nan,12.426,30.082,nan,37.487,36.861,35.930,0.180,nan,nan,nan,6.968,nan,14.111,44.085
Soil6_CE_73_-14_CHL_T9,nan,2.558,177.789,90.682,nan,nan,38.770,211.774,289.175,61.283,130.850,136.271,17.297,nan,0.000,0.000,5.875,121.549,65.496,62.186,2.314,88.803,77.431,77.941,178.777,nan,30.285,61.764,nan,78.186,75.044,82.859,0.000,nan,nan,nan,15.087,nan,26.347,82.474
Soil6_CE_73_-17_CHL_T9,nan,0.587,91.175,53.525,nan,nan,17.612,109.313,150.924,33.501,59.975,81.106,8.739,nan,0.000,0.000,3.930,62.703,34.475,26.414,0.479,47.157,36.828,52.624,108.269,nan,17.449,33.401,nan,36.632,40.980,36.454,0.000,nan,nan,nan,8.481,nan,9.112,42.592
Soil6_CE_73_-21_CHL_T9,nan,1.076,101.315,57.422,nan,nan,22.329,115.757,159.176,41.336,68.797,76.289,8.963,nan,0.000,0.657,5.335,63.148,46.202,37.867,0.562,40.661,44.679,49.534,112.408,nan,16.127,34.587,nan,39.810,43.096,41.682,0.000,nan,nan,nan,7.917,nan,14.334,50.980
Soil6_CE_73_-26_CHL_T9,nan,0.780,102.177,38.958,nan,nan,22.997,109.092,143.764,34.265,60.024,65.258,8.821,nan,0.000,1.000,4.660,61.675,29.762,33.228,1.727,41.584,39.880,42.770,101.251,nan,14.192,34.573,nan,33.916,36.491,39.380,0.180,nan,nan,nan,8.428,nan,15.070,45.497
Soil6_CE_73_-40_CHL_T9,nan,0.587,83.050,49.991,nan,nan,23.014,109.757,135.619,32.870,58.706,62.623,8.083,nan,0.000,0.000,4.101,65.006,34.616,29.804,1.901,42.944,37.159,39.983,99.975,nan,19.870,31.179,nan,31.541,31.005,33.498,0.270,nan,nan,nan,7.936,nan,13.072,49.715
Soil6_CE_73_-4_CHL_T9,nan,0.878,111.082,63.350,nan,nan,15.958,127.103,164.794,33.587,75.116,80.169,5.290,nan,0.000,0.686,3.636,68.978,61.791,42.798,1.284,52.531,51.256,55.086,91.336,nan,14.452,47.195,nan,49.947,50.208,51.453,0.000,nan,nan,nan,7.236,nan,14.309,43.703
Soil6_CE_73_-70_CHL_T9,nan,1.203,117.824,76.275,nan,nan,26.369,147.678,180.560,41.910,90.306,85.508,6.526,nan,0.000,1.000,4.819,80.184,61.871,35.943,3.526,70.297,62.467,51.913,134.054,nan,22.400,55.720,nan,58.321,45.300,60.653,0.180,nan,nan,nan,8.033,nan,20.453,59.265
Soil6_CE_73_-7_CHL_T9,nan,0.685,84.907,44.524,nan,nan,20.660,97.025,133.854,27.771,54.865,61.121,7.114,nan,0.000,0.343,3.717,55.773,38.422,33.726,1.098,40.263,37.368,35.732,76.600,nan,12.422,32.444,nan,33.697,30.153,36.056,0.000,nan,nan,nan,6.477,nan,18.988,41.193
Soil6_CE_73_0_CHL_T9,nan,0.587,89.567,53.596,nan,nan,15.904,104.102,145.938,21.957,61.890,63.109,4.349,nan,0.000,0.000,3.291,54.149,44.381,43.510,0.000,54.486,45.880,36.153,63.144,nan,15.681,37.367,nan,40.821,41.335,35.388,0.000,nan,nan,nan,4.190,nan,10.564,33.194
Soil6_CE_73_7_CHL_T9,nan,2.782,170.471,139.304,nan,nan,10.186,233.708,289.485,19.992,163.798,165.044,2.737,nan,0.000,0.000,3.386,112.549,117.213,98.525,4.515,131.232,119.282,108.936,61.837,nan,29.844,95.007,nan,111.705,106.847,100.538,0.000,nan,nan,nan,2.815,nan,3.637,22.477
Soil9_CE_277_-10_CHL_T9,nan,0.685,93.158,50.167,nan,nan,13.625,129.024,185.619,23.532,60.099,67.040,9.317,nan,0.075,0.000,3.750,75.529,40.635,34.741,1.160,48.388,36.050,39.535,65.444,nan,16.090,35.044,nan,39.592,39.666,48.261,0.000,nan,nan,nan,7.286,nan,3.863,32.981
Soil9_CE_277_-13_CHL_T9,nan,0.587,83.395,45.455,nan,nan,10.452,111.544,167.391,18.787,45.015,63.337,7.839,nan,0.000,0.000,2.925,64.581,28.104,24.608,0.546,39.683,41.366,37.312,54.672,nan,13.231,27.847,nan,34.839,37.703,30.439,0.000,nan,nan,nan,8.924,nan,2.252,25.575
