Well	Nitrite_input	Nitrate_input	Ammonium_input	Soil	Soil_ID	Sample_type	Titration_type	Unit	Concentration_M	Added_ul	Expected_pH	Chloramphenicol	Cycloheximide	Time_point	Ammonia_OD650	Ammonia_mM	NH4_mM	Time_minutes	Time_hours	Time_days	H_mol	Soil_name	Depth	Soil_pH	Moisture_percent	Volume	H_Molarity	H_mM	Time	mcf	Correction_factor_NH4	Replicate	pH	Ave_UnitT0_NH4_mM	Ave_NN_NH4_mM	Correction_factor_by_Unit
H03	0	0	0	Soil1	Soil1_Acidic4	No_Nitrate	No_Nitrate	0	0	20	4.18	None	None	Soil1_T4	0	0	0	1350	22.5	0.9375	0	Soil1_Acidic4_pH4.7	0_10cm	4.703	25.32855436	1.915292712	0	0	T4	1.126642772	0.9427863465	3	4.179179179	0.5274228389	0.5738179603	1.087965704
H03	0	0	0	Soil1	Soil1_Acidic4	No_Nitrate	No_Nitrate	0	0	20	4.18	None	None	Soil1_T5	0	0	0	1720	28.66666667	1.194444444	0	Soil1_Acidic4_pH4.7	0_10cm	4.703	25.32855436	1.915292712	0	0	T5	1.126642772	0.9153491321	3	4.179179179	0.5274228389	0.5738179603	1.087965704
H03	0	0	0	Soil1	Soil1_Acidic4	No_Nitrate	No_Nitrate	0	0	20	4.18	None	None	Soil1_T6	0.0032	0	0	2460	41	1.708333333	0	Soil1_Acidic4_pH4.7	0_10cm	4.703	25.32855436	1.915292712	0	0	T6	1.126642772	0.9261716958	3	4.179179179	0.5274228389	0.5738179603	1.087965704
H03	0	0	0	Soil1	Soil1_Acidic4	No_Nitrate	No_Nitrate	0	0	20	4.18	None	None	Soil1_T7	0.0171	0.002700823489	0.006683047341	3180	53	2.208333333	0	Soil1_Acidic4_pH4.7	0_10cm	4.703	25.32855436	1.915292712	0	0	T7	1.126642772	0.8785208885	3	4.179179179	0.5274228389	0.5738179603	1.087965704
H03	0	0	0	Soil1	Soil1_Acidic4	No_Nitrate	No_Nitrate	0	0	20	4.18	None	None	Soil1_T8	0.0192	0.003596481966	0.008820195691	3895	64.91666667	2.704861111	0	Soil1_Acidic4_pH4.7	0_10cm	4.703	25.32855436	1.915292712	0	0	T8	1.126642772	0.870711119	3	4.179179179	0.5274228389	0.5738179603	1.087965704
H03	0	0	0	Soil1	Soil1_Acidic4	No_Nitrate	No_Nitrate	0	0	20	4.18	None	None	Soil1_T9	0.03845	0.01180986129	0.02750586639	5360	89.33333333	3.722222222	0	Soil1_Acidic4_pH4.7	0_10cm	4.703	25.32855436	1.915292712	0	0	T9	1.126642772	0.8269024696	3	4.179179179	0.5274228389	0.5738179603	1.087965704
H08	0	0	0	Soil1	Soil1_Acidic4	No_Nitrate	No_Nitrate	0	0	20	4.18	CHL	None	Soil1_T0	0.47655	0.2003085655	0.5974757368	0	0	0	0	Soil1_Acidic4_pH4.7	0_10cm	4.703	25.32855436	1.915292712	0	0	T0	1.126642772	1.058996462	1	4.263263263	0.5274228389	0.5738179603	1.087965704
H08	0	0	0	Soil1	Soil1_Acidic4	No_Nitrate	No_Nitrate	0	0	20	4.18	CHL	None	Soil1_T1	0.5057	0.2129597661	0.5607341661	255	4.25	0.1770833333	0	Soil1_Acidic4_pH4.7	0_10cm	4.703	25.32855436	1.915292712	0	0	T1	1.126642772	0.9348312341	1	4.263263263	0.5274228389	0.5738179603	1.087965704
H08	0	0	0	Soil1	Soil1_Acidic4	No_Nitrate	No_Nitrate	0	0	20	4.18	CHL	None	Soil1_T2	0.5202	0.2192579726	0.5777434667	495	8.25	0.34375	0	Soil1_Acidic4_pH4.7	0_10cm	4.703	25.32855436	1.915292712	0	0	T2	1.126642772	0.9355207089	1	4.263263263	0.5274228389	0.5738179603	1.087965704
H08	0	0	0	Soil1	Soil1_Acidic4	No_Nitrate	No_Nitrate	0	0	20	4.18	CHL	None	Soil1_T3	0.52375	0.2208004703	0.5666828442	995	16.58333333	0.6909722222	0	Soil1_Acidic4_pH4.7	0_10cm	4.703	25.32855436	1.915292712	0	0	T3	1.126642772	0.9112002444	1	4.263263263	0.5274228389	0.5738179603	1.087965704
H08	0	0	0	Soil1	Soil1_Acidic4	No_Nitrate	No_Nitrate	0	0	20	4.18	CHL	None	Soil1_T4	0.52785	0.2225822026	0.5910578145	1350	22.5	0.9375	0	Soil1_Acidic4_pH4.7	0_10cm	4.703	25.32855436	1.915292712	0	0	T4	1.126642772	0.9427863465	1	4.263263263	0.5274228389	0.5738179603	1.087965704
H08	0	0	0	Soil1	Soil1_Acidic4	No_Nitrate	No_Nitrate	0	0	20	4.18	CHL	None	Soil1_T5	0.53675	0.2264508113	0.5838306601	1720	28.66666667	1.194444444	0	Soil1_Acidic4_pH4.7	0_10cm	4.703	25.32855436	1.915292712	0	0	T5	1.126642772	0.9153491321	1	4.263263263	0.5274228389	0.5738179603	1.087965704
H08	0	0	0	Soil1	Soil1_Acidic4	No_Nitrate	No_Nitrate	0	0	20	4.18	CHL	None	Soil1_T6	0.55185	0.2330173708	0.6078634712	2460	41	1.708333333	0	Soil1_Acidic4_pH4.7	0_10cm	4.703	25.32855436	1.915292712	0	0	T6	1.126642772	0.9261716958	1	4.263263263	0.5274228389	0.5738179603	1.087965704
H08	0	0	0	Soil1	Soil1_Acidic4	No_Nitrate	No_Nitrate	0	0	20	4.18	CHL	None	Soil1_T7	0.5378	0.2269073056	0.5614703335	3180	53	2.208333333	0	Soil1_Acidic4_pH4.7	0_10cm	4.703	25.32855436	1.915292712	0	0	T7	1.126642772	0.8785208885	1	4.263263263	0.5274228389	0.5738179603	1.087965704
H08	0	0	0	Soil1	Soil1_Acidic4	No_Nitrate	No_Nitrate	0	0	20	4.18	CHL	None	Soil1_T8	0.54495	0.2300162943	0.5641036843	3895	64.91666667	2.704861111	0	Soil1_Acidic4_pH4.7	0_10cm	4.703	25.32855436	1.915292712	0	0	T8	1.126642772	0.870711119	1	4.263263263	0.5274228389	0.5738179603	1.087965704
H08	0	0	0	Soil1	Soil1_Acidic4	No_Nitrate	No_Nitrate	0	0	20	4.18	CHL	None	Soil1_T9	0.574	0.2426565371	0.5651614465	5360	89.33333333	3.722222222	0	Soil1_Acidic4_pH4.7	0_10cm	4.703	25.32855436	1.915292712	0	0	T9	1.126642772	0.8269024696	1	4.263263263	0.5274228389	0.5738179603	1.087965704
H09	0	0	0	Soil1	Soil1_Acidic4	No_Nitrate	No_Nitrate	0	0	20	4.18	CHL	None	Soil1_T0	0.45665	0.1916798302	0.5717381456	0	0	0	0	Soil1_Acidic4_pH4.7	0_10cm	4.703	25.32855436	1.915292712	0	0	T0	1.126642772	1.058996462	3	4.263263263	0.5274228389	0.5738179603	1.087965704
