,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_3_None_T9,nan,nan,nan,nan,nan,nan,nan,3.292,11.504,5.998,0.431,1.023,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.000,nan,nan,nan,nan,nan,nan,1.287,nan,nan,nan,nan,nan,nan,6.788,19.647
Soil12_CE_229_-100_None_T9,nan,nan,nan,nan,nan,nan,nan,1.039,5.974,2.288,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.199,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,0.377,4.680
Soil12_CE_229_-13_None_T9,nan,nan,nan,nan,nan,nan,nan,17.920,27.672,48.506,0.431,6.587,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.132,nan,nan,nan,nan,nan,nan,1.287,nan,nan,nan,nan,nan,nan,18.481,99.165
Soil12_CE_229_-2_None_T9,nan,nan,nan,nan,nan,nan,nan,11.949,17.946,58.447,1.077,5.567,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.265,nan,nan,nan,nan,nan,nan,0.670,nan,nan,nan,nan,nan,nan,41.431,113.286
Soil12_CE_229_-32_None_T9,nan,nan,nan,nan,nan,nan,nan,20.474,21.561,34.350,0.215,3.497,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.199,nan,nan,nan,nan,nan,nan,0.383,nan,nan,nan,nan,nan,nan,11.673,73.987
Soil12_CE_229_-4_None_T9,nan,nan,nan,nan,nan,nan,nan,6.641,17.054,43.719,0.000,5.143,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.066,nan,nan,nan,nan,nan,nan,2.096,nan,nan,nan,nan,nan,nan,40.002,86.457
Soil12_CE_229_-6_None_T9,nan,nan,nan,nan,nan,nan,nan,9.950,18.875,51.155,0.000,5.962,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.267,nan,nan,nan,nan,nan,nan,0.575,nan,nan,nan,nan,nan,nan,47.122,110.709
Soil12_CE_229_-9_None_T9,nan,nan,nan,nan,nan,nan,nan,7.996,15.001,33.159,0.000,6.174,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.199,nan,nan,nan,nan,nan,nan,0.192,nan,nan,nan,nan,nan,nan,21.117,68.020
Soil12_CE_229_0_None_T9,nan,nan,nan,nan,nan,nan,nan,4.167,8.949,22.511,0.000,1.234,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,0.192,nan,nan,nan,nan,nan,nan,27.102,45.452
Soil12_CE_229_10_None_T9,nan,nan,nan,nan,nan,nan,nan,1.269,5.871,2.289,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,0.479,nan,nan,nan,nan,nan,nan,4.910,11.229
Soil12_CE_229_3_None_T9,nan,nan,nan,nan,nan,nan,nan,2.357,5.824,7.932,0.000,0.411,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.136,nan,nan,nan,nan,nan,nan,0.670,nan,nan,nan,nan,nan,nan,9.037,20.379
Soil12_CE_229_6_None_T9,nan,nan,nan,nan,nan,nan,nan,1.436,5.813,7.799,0.000,1.234,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.066,nan,nan,nan,nan,nan,nan,1.192,nan,nan,nan,nan,nan,nan,6.040,13.236
Soil14_CE_251_N2_-23_None_T9,nan,nan,nan,nan,nan,nan,nan,23.420,23.441,19.110,1.000,6.554,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.066,nan,nan,nan,nan,nan,nan,0.096,nan,nan,nan,nan,nan,nan,3.778,36.531
